sample_id,time_s,step_id,pose_x_m,pose_y_m,pose_theta_deg,gt_x_m,gt_y_m,localization_error_m,path_length_m,coverage_percent,coverage_cleaned_cells,coverage_total_cells,uncleaned_cells,frontier_cells,gray_gap_cells,gray_gap_components,planner_intent,planner_mode,navigation_phase,nav_state,owner_source,control_owner,route_active,route_kind,route_len_cells,route_cost_m,route_status,map_mature,known_map_active,dock_completed,raw_obstacle_cells,actual_obstacle_cells,no_go_cells,hypothesis_obstacle_cells,contact_obstacle_cells,structural_obstacle_cells,thin_obstacle_cells,weak_unconfirmed_obstacle_cells,gt_obstacle_cells,false_occupied_cells,false_free_cells,false_occupied_ratio,obstacle_precision,obstacle_recall,quality_ok,quality_debug,loop_ms,planner_ms,planner_nodes,load_shedding,bumper_active,low_obstacle_debug,bumper_events,recovery_events,route_abort_events,known_wait_events,low_obstacle_marks
0,0.032,0,0,0,0,-4.12001,2.75001,0,0,0,0,0,0,0,0,0,CLEAN_KNOWN,ROW_COVERAGE,EXPLORE,FORWARD,none,NONE,0,none,0,-1,fallback/no reachable route,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,quality_gate=n/a,514.169,238.094,0,load=shed loop=514 ema=514,0,lowObs=idle,0,0,0,0,0
1,1.056,32,0.120529,3.13011e-09,9.13662e-07,-3.99883,2.75,0.000649466,0.120529,0,0,0,0,0,0,0,CLEAN_KNOWN,ROW_COVERAGE,EXPLORE,FORWARD,none,NONE,0,none,0,-1,fallback/no reachable route,0,0,0,,,,,,,,,,,,,,,,,76.5916,238.094,0,load=shed loop=77 ema=43,0,lowObs=idle,0,0,0,0,0
2,2.08,64,0.252818,-8.75657e-10,-2.90636e-06,-3.86648,2.75,0.000712373,0.252818,0,0,0,0,0,0,0,CLEAN_KNOWN,ROW_COVERAGE,EXPLORE,FORWARD,none,NONE,0,none,0,-1,fallback/no reachable route,0,0,0,,,,,,,,,,,,,,,,,69.8878,238.094,0,load=shed loop=70 ema=41,0,lowObs=idle,0,0,0,0,0
3,3.104,96,0.338051,0.00134261,-0.12272,-3.78134,2.75135,0.000613627,0.33807,3.78041,575,15210,14635,7058,0,0,EXPAND_MAP,EXPLORATION_FRONTIER,EXPLORE,FORWARD,hybrid-row,ROW_FORWARD:cell fill after ro t=1.1s d=0.00/0.18,0,none,0,-1,wavefront frontier cost=0.51m len=4 score=102.1 comp=0 fp=935/0.00 cont=0.0 wall=0.0 seg=point geom first=28deg corne commitType=frontier intent=EXPAND_MAP fr=705 exploreRoute=frontier-only cost=3. noise=cache22:obs-0/ defer=0 plan=69ms/97,0,0,0,,,,,,,,,,,,,,,,,74.7244,68.8481,97,load=shed loop=75 ema=66,0,lowObs=idle,0,0,0,0,0
4,4.128,128,0.425635,0.000762723,0.288384,-3.69397,2.75076,0.000401937,0.42566,3.78041,575,15210,14635,7058,0,0,EXPAND_MAP,EXPLORATION_FRONTIER,EXPLORE,FORWARD,hybrid-row,ROW_FORWARD:cell fill after ro t=1.1s d=0.00/0.18,0,none,0,-1,wavefront frontier cost=0.34m len=3 score=104.5 comp=0 fp=935/0.00 cont=0.0 wall=0.0 seg=point geom first=18deg corne commitType=frontier intent=EXPAND_MAP fr=705 exploreRoute=frontier-only cost=2. noise=cache57:obs-0/ defer=0 plan=175ms/115,0,0,0,,,,,,,,,,,,,,,,,63.1544,175.126,115,load=shed loop=63 ema=114,0,lowObs=idle,0,0,0,0,0
5,5.152,160,0.501219,0.00169913,2.11029,-3.6185,2.75169,0.000290546,0.50126,5.72156,944,16499,15555,6413,0,0,EXPAND_MAP,EXPLORATION_FRONTIER,EXPLORE,RGBD_SNAPSHOT,frontier-hold,RGBD_SNAPSHOT:RGB-D snapshot set t=1.4s d=0.00/0.00,0,none,0,-1,wavefront frontier cost=0.51m len=4 score=102.3 comp=0 fp=938/-0.00 cont=0.0 wall=0.0 seg=point geom first=25deg corne commitType=frontier intent=EXPAND_MAP fr=641 exploreRoute=frontier-only cost=2. noise=cache16:obs-0/ defer=0 plan=64ms/115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,quality_gate=n/a,61.1242,64.2926,115,load=shed loop=61 ema=61,0,lowObs=idle,0,0,0,0,0
6,6.176,192,0.501219,0.00169913,1.19712,-3.61855,2.7517,0.000237002,0.50126,5.72156,944,16499,15555,6413,0,0,EXPAND_MAP,EXPLORATION_FRONTIER,EXPLORE,FORWARD,hybrid-row,ROW_FORWARD:row forward after  t=2.2s d=0.00/0.28,0,none,0,-1,wavefront frontier cost=0.51m len=4 score=102.2 comp=0 fp=941/0.00 cont=0.0 wall=0.0 seg=point geom first=25deg corne commitType=frontier intent=EXPAND_MAP fr=641 exploreRoute=frontier-only cost=2. noise=cache50:obs-0/ defer=0 plan=168ms/2649,0,0,0,,,,,,,,,,,,,,,,,62.9542,168.441,2649,load=shed loop=63 ema=99,0,lowObs=idle,0,0,0,0,0
7,7.2,224,0.592005,0.00227889,1.78087,-3.52791,2.75227,9.09454e-05,0.592057,5.72156,944,16499,15555,6413,0,0,EXPAND_MAP,EXPLORATION_FRONTIER,EXPLORE,FORWARD,frontier-route,ROUTE_COMMIT:route commit: fron t=22.0s d=0.00/0.00,1,frontier,4,0.510924,wavefront frontier cost=0.51m len=4 score=102.2 comp=0 fp=941/0.00 cont=0.0 wall=0.0 seg=point geom first=25deg corne commitType=frontier intent=EXPAND_MAP fr=641 exploreRoute=frontier-only cost=2. noise=cache50:obs-0/ defer=0 plan=168ms/2649,0,0,0,,,,,,,,,,,,,,,,,74.3595,168.441,2649,load=shed loop=74 ema=53,0,lowObs=idle,0,0,0,0,0
8,8.224,256,0.676648,0.00622829,2.37069,-3.44318,2.75623,0.000177394,0.676796,6.45004,1187,18403,17216,7917,0,0,EXPAND_MAP,EXPLORATION_FRONTIER,EXPLORE,FORWARD,hybrid-row,ROW_FORWARD:cell fill after ro t=1.1s d=0.00/0.18,0,none,0,-1,wavefront frontier cost=0.51m len=4 score=102.5 comp=0 fp=937/-0.00 cont=0.0 wall=0.0 seg=point geom first=21deg corne commitType=frontier intent=EXPAND_MAP fr=791 exploreRoute=frontier-only cost=3. noise=cache43:obs-0/ defer=0 plan=169ms/3945,0,0,0,,,,,,,,,,,,,,,,,54.7177,169.249,3945,load=shed loop=55 ema=83,0,lowObs=idle,0,0,0,0,0
9,9.248,288,0.774841,0.00495697,-0.837356,-3.34519,2.75495,3.42165e-05,0.774998,8.83191,1767,20007,18240,7190,0,0,EXPAND_MAP,EXPLORATION_FRONTIER,EXPLORE,FORWARD,hybrid-row,ROW_FORWARD:cell fill after ro t=1.1s d=0.00/0.18,0,none,0,-1,wavefront frontier cost=0.51m len=4 score=102.1 comp=0 fp=928/-0.00 cont=0.0 wall=0.0 seg=point geom first=27deg corne commitType=frontier intent=EXPAND_MAP fr=719 exploreRoute=frontier-only cost=3. noise=cache8:obs-0/0 defer=0 plan=78ms/661,0,0,0,,,,,,,,,,,,,,,,,633.069,78.3544,661,load=shed loop=633 ema=144,0,lowObs=idle,0,0,0,0,0
